장비ID,장비명/국사명,사업장,순서,key,업무명,운용팀,장비명/국사명,장비ID,국사,본부,자산현행화(세부항목),MOSS(BS)발행,자산점검 완료(MOSS 미발행),
14.50.216.190,침수(보험관련)#합강공원오토캠핑장CCTV#-E5624R,세종특별자치시 연동면 합강리 390-2,1,1세종특별자치시 연동면 합강리 390-2,L2 자산철거(현장확인 대상),서대구,침수(보험관련)#합강공원오토캠핑장CCTV#-E5624R,14.50.216.190,칠곡국사,대구,,,,세종특별자치시 연동면 합강리 390-2
14.50.216.164,침수(보험관련)#합강공원오토캠핑장CCTV#-E5624R,세종특별자치시 연동면 합강리 390-2,2,2세종특별자치시 연동면 합강리 390-2,L2 자산철거(현장확인 대상),서대구,침수(보험관련)#합강공원오토캠핑장CCTV#-E5624R,14.50.216.164,칠곡국사,대구,,,,세종특별자치시 연동면 합강리 390-2
211.216.229.135,OFF#(폐업)1_A플러스#1-E5016H,세종특별자치시 조치원읍 서창리 168-11,1,1세종특별자치시 조치원읍 서창리 168-11,L2 자산철거(현장확인 대상),서대구,OFF#(폐업)1_A플러스#1-E5016H,211.216.229.135,칠곡국사,대구,,,,세종특별자치시 조치원읍 서창리 168-11
222.114.155.104,철거대상#대웅빌_연기리446#1-E5624R,세종특별자치시 연기면 연기리 446-12,1,1세종특별자치시 연기면 연기리 446-12,L2 자산철거(현장확인 대상),서대구,철거대상#대웅빌_연기리446#1-E5624R,222.114.155.104,칠곡국사,대구,,,,세종특별자치시 연기면 연기리 446-12
211.224.221.130,철거대상#타임호텔_FK4J120#-E5624R,충청남도 천안시 서북구 성정동 1339-1,1,1충청남도 천안시 서북구 성정동 1339-1,L2 자산철거(현장확인 대상),서대구,철거대상#타임호텔_FK4J120#-E5624R,211.224.221.130,칠곡국사,대구,,,,충청남도 천안시 서북구 성정동 1339-1
121.188.133.244,철거대상#삼해식품#-E5624R,충청북도 음성군 삼성면 천평리 136-0,1,1충청북도 음성군 삼성면 천평리 136-0,L2 자산철거(현장확인 대상),동대구,철거대상#삼해식품#-E5624R,121.188.133.244,청도국사,대구,,,,충청북도 음성군 삼성면 천평리 136-0
211.48.200.178,B1#현진에버빌초록마을203동12라인#31-E5024,대전광역시 서구 복수동 612-0,1,1대전광역시 서구 복수동 612-0,L2 자산철거(현장확인 대상),안동,B1#현진에버빌초록마을203동12라인#31-E5024,211.48.200.178,의성국사,대구,,,,대전광역시 서구 복수동 612-0 203동 1-2라인 지하 1층 우측문
121.152.132.29,철거대상#1_유천동 301-3 동성장모텔#-E5624R,대전광역시 중구 유천동 301-3,1,1대전광역시 중구 유천동 301-3,L2 자산철거(현장확인 대상),남대구,철거대상#1_유천동 301-3 동성장모텔#-E5624R,121.152.132.29,월배국사,대구,,,,대전광역시 중구 유천동 301-3
221.160.207.221,#신방동_1087번지 공동주택#-E5016H,충청남도 천안시 동남구 신방동 1087-0,1,1충청남도 천안시 동남구 신방동 1087-0,L2 자산철거(현장확인 대상),남대구,#신방동_1087번지 공동주택#-E5016H,221.160.207.221,월배국사,대구,,,,충청남도 천안시 동남구 신방동 1087-0
222.114.110.38,02#파란들#01-E5016,충청남도 천안시 동남구 신방동 1352-0,1,1충청남도 천안시 동남구 신방동 1352-0,L2 자산철거(현장확인 대상),남대구,02#파란들#01-E5016,222.114.110.38,월배국사,대구,,,,충청남도 천안시 동남구 신방동 1352-0
221.158.223.95,철거대상#Main_제이드팰리스_상리121_4#-E5024H,세종특별자치시 조치원읍 상리 121-4,1,1세종특별자치시 조치원읍 상리 121-4,L2 자산철거(현장확인 대상),남대구,철거대상#Main_제이드팰리스_상리121_4#-E5024H,221.158.223.95,월배국사,대구,,,,세종특별자치시 조치원읍 상리 121-4
220.123.30.144,#대추리길7#-E5616R,세종특별자치시 전의면 관정리 653-6,1,1세종특별자치시 전의면 관정리 653-6,L2 자산철거(현장확인 대상),남대구,#대추리길7#-E5616R,220.123.30.144,월배국사,대구,,,,세종특별자치시 전의면 관정리 653-6
112.166.70.10,현장확인필요#OFF_불당동_703_나은병원#3-E5024,충청남도 천안시 서북구 불당동 703-0,1,1충청남도 천안시 서북구 불당동 703-0,L2 자산철거(현장확인 대상),포항,현장확인필요#OFF_불당동_703_나은병원#3-E5024,112.166.70.10,울진국사,대구,,,,충청남도 천안시 서북구 불당동 703-0
59.27.149.50,#성정동1257#-E5016H,충청남도 천안시 서북구 성정동 1257-0,1,1충청남도 천안시 서북구 성정동 1257-0,L2 자산철거(현장확인 대상),포항,#성정동1257#-E5016H,59.27.149.50,울진국사,대구,,,,충청남도 천안시 서북구 성정동 1257-0
211.216.234.162,철거대상#생계조합_기숙사B동#-E5624R,세종특별자치시 금남면 부용리 539-2,1,1세종특별자치시 금남면 부용리 539-2,L2 자산철거(현장확인 대상),포항,철거대상#생계조합_기숙사B동#-E5624R,211.216.234.162,울진국사,대구,,,,세종특별자치시 금남면 부용리 539-2
211.229.229.107,철거대상#제이타워내 명마취통증의학과 4층#-E5608R,충청남도 천안시 서북구 성정동 1263-0,1,1충청남도 천안시 서북구 성정동 1263-0,L2 자산철거(현장확인 대상),해남,철거대상#제이타워내 명마취통증의학과 4층#-E5608R,211.229.229.107,강진국사,호남,,,,충청남도 천안시 서북구 성정동 1263-0
211.106.146.224,출입불가#쌍용동_449-14_만나종합식품#1-E5616R,충청남도 천안시 서북구 쌍용동 449-14,1,1충청남도 천안시 서북구 쌍용동 449-14,L2 자산철거(현장확인 대상),서대구,출입불가#쌍용동_449-14_만나종합식품#1-E5616R,211.106.146.224,동촌국사,대구,,,,충청남도 천안시 서북구 쌍용동 449-14
